EmployeeID,Department,Position,Gender,Age,Education,ExperienceYears,City,ContractType,HireDate,Year,Salary,Bonus,PerformanceScore,SickLeave,VacationLeave,OvertimeHours,TrainingHours,MaritalStatus,PromotionLast5Years,JobLevel,Attrition
46,HR,Director,Female,43,Master,3,Pune,Contract,2021-02-19 09:05:51,2024,795496,137862,2,14,17,8,6,Single,No,Junior,No
47,Finance,Senior Engineer,Female,39,MBA,1,Delhi,Permanent,2023-04-29 09:49:34,2020,1035101,99030,4,2,7,23,14,Married,No,Senior,No
48,Sales,Manager,Female,35,Bachelor,1,Bangalore,Permanent,2019-06-20 18:20:27,2019,693920,83910,4,4,22,12,27,Single,Yes,Senior,No
49,HR,Executive,Female,31,Master,4,Delhi,Contract,2017-12-10 19:00:59,2024,829740,248360,3,14,26,43,19,Single,No,Junior,No
50,Sales,Manager,Male,34,Bachelor,9,Bangalore,Permanent,2023-05-06 07:26:44,2023,411153,241965,4,14,8,29,21,Married,No,Manager,No
51,Operations,Executive,Female,52,Master,9,Pune,Permanent,2021-09-15 09:45:14,2024,492543,232360,3,3,25,18,18,Single,Yes,Manager,No
52,Finance,Analyst,Male,51,Diploma,8,Mumbai,Permanent,2021-08-03 00:34:07,2024,1286721,61598,4,6,25,40,20,Single,Yes,Senior,No
53,Finance,Director,Male,24,Diploma,12,Hyderabad,Permanent,2016-09-16 21:55:28,2020,1827850,46296,1,3,23,9,36,Married,No,Mid,No
54,HR,Manager,Female,51,Diploma,6,Pune,Permanent,2024-11-03 17:55:23,2023,1629020,169138,1,7,20,50,27,Married,No,Junior,No
55,Finance,Senior Engineer,Female,27,Bachelor,4,Mumbai,Contract,2024-02-26 06:35:49,2024,700717,179964,4,6,8,41,38,Single,No,Manager,No
56,Marketing,Senior Engineer,Male,50,PhD,9,Pune,Permanent,2019-05-07 05:26:02,2020,1350421,95577,2,9,23,43,20,Single,No,Senior,No
57,Finance,Associate,Male,29,Master,9,Delhi,Permanent,2017-05-02 16:13:28,2021,1467918,225662,3,8,27,13,38,Single,No,Senior,No
58,Sales,Executive,Female,54,Diploma,5,Bangalore,Contract,2019-03-15 00:15:48,2023,1125613,97173,4,0,19,39,75,Married,Yes,Mid,No
59,Sales,Manager,Female,38,Master,18,Pune,Contract,2022-01-13 07:24:53,2022,750479,84771,3,14,5,47,37,Single,Yes,Mid,No
60,Sales,Associate,Male,32,Bachelor,20,Mumbai,Contract,2018-10-14 07:28:58,2019,1061654,119074,5,4,20,48,72,Single,Yes,Manager,Yes
61,Sales,Manager,Female,34,PhD,7,Delhi,Permanent,2019-07-26 02:11:36,2022,1296270,177110,4,12,19,19,47,Single,Yes,Mid,No
62,Marketing,Executive,Female,32,Bachelor,0,Hyderabad,Permanent,2023-07-14 11:42:55,2023,548850,56622,2,3,20,3,68,Single,Yes,Mid,No
63,IT,Senior Engineer,Female,52,Master,16,Delhi,Permanent,2016-01-13 23:55:04,2024,1596264,160973,5,5,26,37,75,Single,No,Junior,No
64,Operations,Analyst,Male,49,PhD,6,Bangalore,Permanent,2016-05-29 06:46:39,2020,858692,102910,4,0,24,43,22,Single,No,Senior,No
65,HR,Senior Engineer,Male,27,PhD,13,Delhi,Contract,2015-02-28 08:43:16,2023,1895428,200934,1,5,5,59,72,Married,No,Senior,No
66,Sales,Associate,Male,37,Bachelor,20,Hyderabad,Contract,2017-05-01 02:00:52,2019,1970762,183878,4,0,21,49,65,Married,No,Mid,Yes
67,Finance,Director,Female,25,Diploma,20,Mumbai,Permanent,2016-11-07 13:55:45,2023,1274939,168731,1,13,9,38,79,Married,No,Senior,No
68,Sales,Analyst,Female,56,Master,16,Pune,Permanent,2018-07-06 15:48:43,2020,580371,174525,1,13,9,4,24,Single,No,Senior,No
69,Finance,Associate,Male,47,MBA,8,Bangalore,Permanent,2024-11-04 15:56:21,2022,1307800,298456,4,0,11,41,15,Single,No,Manager,Yes
70,Operations,Executive,Male,33,MBA,16,Hyderabad,Permanent,2020-06-04 16:20:43,2021,1869495,283580,4,7,17,31,50,Married,No,Senior,No
71,Operations,Analyst,Male,32,Bachelor,4,Bangalore,Contract,2023-07-22 15:54:26,2022,1443835,136787,1,1,16,5,68,Married,Yes,Mid,No
72,Operations,Associate,Female,58,Master,19,Delhi,Contract,2019-04-07 11:51:28,2020,1473027,110485,3,9,8,58,32,Married,No,Manager,No
73,Finance,Executive,Male,46,Master,7,Bangalore,Permanent,2023-06-11 17:06:59,2020,740691,197058,5,12,29,13,52,Married,No,Senior,No
74,Sales,Senior Engineer,Male,39,Bachelor,5,Hyderabad,Contract,2023-09-29 14:06:22,2019,1365791,204249,2,13,8,5,39,Married,No,Senior,No
75,Operations,Director,Female,40,Master,10,Pune,Permanent,2017-12-24 03:03:57,2023,430577,52646,4,5,27,13,12,Single,No,Manager,Yes
76,Marketing,Executive,Female,44,Diploma,18,Pune,Permanent,2020-03-10 19:17:37,2023,371074,96126,5,13,25,11,26,Single,No,Manager,No
77,Finance,Manager,Female,59,Bachelor,3,Bangalore,Contract,2016-10-14 20:22:53,2022,1239203,137922,5,5,25,26,28,Single,No,Senior,Yes
78,Finance,Executive,Male,39,Diploma,17,Mumbai,Permanent,2020-12-15 09:56:49,2021,932909,275217,3,5,10,53,70,Single,Yes,Junior,No
79,Sales,Executive,Female,47,Master,0,Bangalore,Contract,2021-03-24 18:08:41,2021,1229958,88659,5,7,28,25,68,Single,No,Junior,Yes
80,Finance,Director,Female,27,Bachelor,12,Delhi,Permanent,2018-09-21 09:57:30,2019,406759,135341,4,3,19,11,69,Married,Yes,Senior,No
81,Finance,Manager,Male,25,Master,13,Pune,Contract,2015-01-12 12:09:59,2020,1477047,24158,5,2,25,7,18,Married,No,Senior,No
82,Operations,Associate,Female,50,Bachelor,0,Pune,Permanent,2019-11-05 20:12:22,2019,1756851,94236,4,5,23,9,29,Single,Yes,Manager,No
83,Sales,Associate,Male,55,Master,10,Pune,Contract,2021-08-04 21:44:39,2023,1921262,96067,4,3,10,15,7,Married,No,Manager,No
84,Operations,Executive,Male,38,Diploma,16,Mumbai,Permanent,2017-01-12 01:12:49,2024,1513945,178810,1,1,16,51,9,Single,Yes,Senior,No
85,Operations,Manager,Female,37,Diploma,3,Mumbai,Permanent,2021-03-20 15:18:04,2024,932592,29879,3,5,18,25,69,Single,No,Senior,No
86,Sales,Manager,Female,23,Master,11,Hyderabad,Contract,2020-02-28 07:55:30,2024,1453535,156615,2,9,22,7,58,Married,Yes,Senior,No
87,HR,Director,Female,55,Bachelor,9,Bangalore,Permanent,2024-01-28 19:04:54,2020,1587893,132284,1,4,16,40,23,Single,Yes,Senior,Yes
88,Operations,Senior Engineer,Female,29,MBA,5,Bangalore,Contract,2016-01-30 16:12:13,2019,1670687,198996,2,10,28,44,58,Single,No,Junior,Yes
89,Marketing,Associate,Female,34,Diploma,0,Delhi,Contract,2023-06-28 20:18:38,2022,1478321,230190,4,8,28,28,14,Single,Yes,Manager,No
90,Marketing,Director,Female,29,Diploma,6,Pune,Permanent,2021-03-28 01:21:25,2023,354583,63888,1,10,19,19,20,Married,Yes,Mid,No
91,Finance,Analyst,Male,51,MBA,20,Mumbai,Permanent,2020-08-24 04:30:04,2024,1996941,24799,5,5,23,16,50,Married,Yes,Senior,Yes
92,Marketing,Associate,Male,53,Master,15,Delhi,Permanent,2017-04-10 10:07:40,2021,744846,244842,5,13,12,18,33,Single,No,Senior,Yes
93,Finance,Director,Female,57,Bachelor,13,Delhi,Permanent,2021-11-20 08:18:58,2019,1459935,110141,2,2,13,16,19,Single,No,Senior,Yes
94,HR,Associate,Male,51,Master,19,Mumbai,Contract,2020-03-11 22:24:08,2023,1899950,155183,4,10,9,38,52,Married,Yes,Mid,No
95,Sales,Senior Engineer,Female,22,PhD,19,Bangalore,Permanent,2023-10-14 02:18:23,2023,971844,223623,2,4,9,59,15,Married,Yes,Manager,No
96,Sales,Analyst,Male,38,Diploma,5,Pune,Permanent,2018-06-19 12:28:12,2021,1023983,36490,3,14,10,0,38,Married,No,Manager,No
97,Sales,Senior Engineer,Male,41,PhD,4,Bangalore,Permanent,2022-10-14 23:22:23,2021,928420,270138,5,9,27,58,40,Married,No,Senior,Yes
98,Marketing,Analyst,Male,45,Diploma,20,Delhi,Contract,2024-02-13 15:16:05,2021,1863905,137219,1,7,7,51,34,Single,No,Senior,Yes
99,HR,Executive,Female,43,Diploma,17,Pune,Permanent,2022-09-11 08:56:09,2024,1407839,64104,1,8,9,28,77,Single,No,Manager,No
100,Marketing,Director,Male,50,PhD,14,Hyderabad,Contract,2020-03-23 02:07:21,2024,1409240,25316,1,7,5,13,23,Single,No,Mid,No
101,Marketing,Analyst,Female,43,PhD,5,Delhi,Permanent,2015-07-04 21:43:34,2019,717896,58130,5,14,15,16,72,Married,No,Senior,No
102,HR,Senior Engineer,Male,30,Master,18,Bangalore,Contract,2021-08-29 08:24:04,2021,1206906,165250,4,2,25,12,74,Married,No,Mid,Yes
103,HR,Associate,Male,58,PhD,0,Bangalore,Permanent,2024-01-18 09:32:01,2022,1687688,202235,5,8,24,28,37,Single,No,Mid,No
104,HR,Analyst,Male,31,Master,0,Bangalore,Permanent,2016-04-28 08:12:06,2023,696608,83165,5,2,5,33,79,Married,No,Manager,No
105,HR,Director,Male,57,Master,12,Mumbai,Contract,2015-03-20 18:33:15,2021,755473,216511,1,7,11,26,26,Single,No,Senior,No
106,Sales,Analyst,Male,58,Master,2,Delhi,Permanent,2015-09-04 13:27:01,2023,1416380,255605,5,9,19,45,40,Married,No,Junior,No
107,IT,Manager,Female,49,Diploma,9,Pune,Permanent,2018-03-03 20:59:38,2020,1124832,86775,1,8,21,32,27,Single,No,Manager,No
108,IT,Associate,Female,49,Diploma,20,Bangalore,Permanent,2018-01-19 01:21:38,2020,729767,73149,4,6,12,28,67,Single,No,Manager,No
109,HR,Director,Male,42,PhD,2,Bangalore,Contract,2016-07-14 12:08:58,2021,1559663,110710,3,3,6,36,30,Single,No,Junior,No
110,IT,Director,Male,45,Diploma,8,Mumbai,Permanent,2016-02-28 07:26:51,2023,1242969,112199,1,9,17,38,64,Single,Yes,Senior,No
111,IT,Executive,Male,23,PhD,7,Pune,Contract,2021-07-11 23:48:03,2020,741371,185024,2,14,16,18,9,Married,No,Mid,No
112,HR,Senior Engineer,Male,29,Diploma,2,Delhi,Contract,2016-09-24 12:47:58,2021,1436469,47326,3,8,9,45,58,Single,No,Mid,No
113,IT,Executive,Female,48,Bachelor,12,Hyderabad,Contract,2018-06-17 02:44:11,2023,308981,51139,4,2,17,23,42,Single,No,Mid,No
114,Marketing,Director,Male,43,Bachelor,5,Mumbai,Permanent,2024-04-12 14:49:43,2021,1762824,213175,3,14,10,13,66,Single,No,Senior,No
115,Finance,Associate,Female,58,PhD,12,Delhi,Contract,2024-08-14 16:19:11,2024,616235,211929,1,2,29,46,29,Single,Yes,Manager,No
116,Finance,Analyst,Male,48,Diploma,19,Hyderabad,Contract,2020-07-30 11:39:22,2023,407154,32937,4,1,19,36,16,Married,Yes,Manager,No
117,HR,Analyst,Female,50,Diploma,19,Bangalore,Permanent,2016-06-16 03:19:43,2020,1635128,278006,2,9,27,4,26,Single,No,Manager,Yes
118,Sales,Associate,Male,24,Master,11,Bangalore,Contract,2018-05-20 22:28:18,2021,1348378,165807,1,14,26,52,13,Single,No,Manager,No
119,HR,Director,Male,34,MBA,12,Pune,Contract,2015-06-12 17:54:39,2020,1134372,79919,1,2,25,23,33,Married,No,Manager,Yes
120,Sales,Analyst,Female,31,PhD,1,Hyderabad,Permanent,2024-10-10 15:03:32,2021,1824730,186730,4,0,26,33,48,Single,Yes,Junior,No
121,Finance,Analyst,Male,57,MBA,20,Bangalore,Permanent,2015-07-01 01:38:21,2019,1006465,154845,4,14,15,49,31,Single,No,Mid,No
122,HR,Analyst,Male,30,MBA,15,Bangalore,Contract,2015-09-26 07:44:59,2020,1540698,44956,3,3,8,30,59,Single,No,Mid,No
123,Operations,Senior Engineer,Male,48,PhD,5,Pune,Permanent,2019-06-23 02:38:17,2020,1352233,297963,2,7,5,29,9,Single,No,Senior,No
124,Marketing,Senior Engineer,Female,55,Diploma,18,Delhi,Permanent,2016-07-26 23:04:14,2022,1107662,283672,3,4,19,59,56,Married,No,Junior,No
125,IT,Manager,Male,22,PhD,20,Bangalore,Permanent,2020-12-31 14:44:21,2024,1236184,106491,3,1,16,55,17,Married,No,Manager,No
126,Sales,Executive,Male,53,MBA,12,Mumbai,Contract,2015-09-23 11:43:54,2020,1562342,64588,1,2,13,8,46,Married,No,Manager,No
127,Operations,Associate,Female,46,Diploma,16,Mumbai,Contract,2019-07-15 04:36:09,2023,909019,221657,4,0,15,26,19,Married,No,Manager,No
128,IT,Associate,Female,50,Bachelor,8,Delhi,Permanent,2023-01-25 05:36:35,2021,473412,119152,1,1,9,27,22,Married,Yes,Junior,No
129,IT,Associate,Female,28,PhD,16,Hyderabad,Contract,2017-06-30 16:13:27,2019,963227,147872,2,0,28,41,54,Married,No,Senior,No
130,HR,Manager,Male,24,PhD,1,Pune,Permanent,2024-12-06 10:44:10,2023,1352905,292263,3,1,11,25,6,Single,No,Junior,No
131,IT,Senior Engineer,Male,41,Diploma,18,Mumbai,Permanent,2015-03-20 12:19:24,2023,1305591,36167,2,2,12,17,17,Single,No,Senior,No
132,Marketing,Director,Male,41,Bachelor,18,Mumbai,Permanent,2022-12-24 15:28:31,2023,1646585,207575,4,0,5,35,72,Single,No,Mid,No
133,Operations,Director,Female,51,Bachelor,6,Delhi,Permanent,2015-09-22 15:42:56,2023,1022300,130782,4,10,29,7,51,Single,No,Senior,Yes
134,IT,Manager,Male,56,Diploma,9,Hyderabad,Permanent,2019-02-19 04:15:08,2019,1868473,150775,5,8,5,17,79,Married,No,Mid,No
135,HR,Director,Male,56,Master,9,Hyderabad,Contract,2021-04-18 12:10:28,2022,337869,54889,2,9,7,19,54,Single,No,Senior,No
136,Marketing,Associate,Female,48,PhD,19,Delhi,Contract,2023-09-19 14:53:59,2024,1546553,246406,1,4,12,57,16,Single,No,Mid,No
137,Finance,Executive,Female,47,PhD,8,Mumbai,Contract,2017-03-18 13:52:24,2020,798185,80262,2,7,15,31,17,Married,No,Mid,No
138,Operations,Analyst,Female,35,MBA,16,Pune,Contract,2021-02-11 21:56:43,2023,1432560,155753,3,4,5,28,13,Single,Yes,Manager,No
139,IT,Senior Engineer,Female,38,Diploma,14,Mumbai,Permanent,2024-02-05 10:35:24,2020,1211604,100291,4,7,18,48,63,Single,No,Senior,No
140,HR,Senior Engineer,Female,39,MBA,1,Hyderabad,Permanent,2018-01-05 07:25:51,2020,1449645,86008,4,6,5,47,49,Married,No,Manager,No
141,Finance,Manager,Male,50,MBA,3,Mumbai,Contract,2017-02-19 23:01:46,2023,548577,267547,2,11,10,17,74,Single,Yes,Mid,No
142,Finance,Senior Engineer,Female,41,Bachelor,18,Pune,Contract,2021-01-09 00:46:11,2022,1176143,249489,2,3,25,6,47,Single,Yes,Manager,No
143,Sales,Associate,Male,48,PhD,16,Bangalore,Permanent,2020-04-19 00:35:58,2020,628396,288617,2,14,10,0,78,Married,No,Junior,No
144,Marketing,Director,Male,39,MBA,4,Mumbai,Permanent,2024-10-09 22:08:14,2021,1690106,192370,3,6,7,27,27,Single,No,Manager,No
145,IT,Associate,Female,25,Bachelor,6,Delhi,Permanent,2017-09-24 02:41:01,2020,418728,120956,3,5,14,32,49,Single,No,Senior,No
146,HR,Manager,Female,22,Diploma,17,Bangalore,Contract,2022-03-21 22:11:56,2024,823846,214499,1,2,16,49,27,Single,Yes,Manager,No
147,Sales,Associate,Female,22,MBA,20,Delhi,Permanent,2018-12-13 17:52:40,2023,1374377,213073,2,8,14,3,38,Single,Yes,Junior,No
148,Marketing,Director,Male,47,PhD,6,Delhi,Permanent,2020-11-03 21:10:51,2019,1042647,212796,1,11,26,54,20,Single,No,Manager,No
149,Sales,Executive,Female,41,MBA,16,Delhi,Contract,2020-08-10 21:50:16,2020,1963573,292976,5,9,6,19,67,Married,Yes,Mid,No
150,Operations,Manager,Female,44,Diploma,6,Mumbai,Contract,2016-05-15 05:19:37,2022,615414,165780,3,14,28,52,55,Single,Yes,Mid,No
151,Marketing,Executive,Female,31,MBA,3,Hyderabad,Contract,2022-06-10 03:04:28,2021,1813414,211134,4,12,26,51,36,Single,Yes,Mid,No
152,Marketing,Analyst,Female,32,PhD,7,Bangalore,Permanent,2023-09-22 21:06:53,2021,1141967,31002,5,8,17,35,42,Single,Yes,Senior,No
153,IT,Executive,Female,26,Bachelor,12,Pune,Permanent,2016-07-17 03:17:52,2019,555560,52556,4,13,20,56,60,Married,Yes,Manager,No
154,Marketing,Analyst,Male,22,PhD,3,Hyderabad,Contract,2023-11-09 18:15:09,2024,1068026,87963,5,4,17,30,73,Married,No,Mid,Yes
155,Sales,Analyst,Male,38,Bachelor,5,Mumbai,Permanent,2023-02-17 02:30:07,2019,1032119,241746,1,7,8,37,21,Married,Yes,Manager,No
156,Marketing,Executive,Male,43,Master,4,Delhi,Permanent,2019-11-08 23:54:55,2024,316220,26563,1,6,8,27,43,Single,No,Junior,Yes
157,IT,Manager,Female,55,PhD,11,Pune,Permanent,2018-11-16 00:24:49,2020,1624112,230995,3,8,15,2,45,Single,No,Junior,Yes
158,IT,Director,Female,50,PhD,3,Bangalore,Contract,2021-08-08 18:46:30,2023,1827379,287984,4,6,27,5,52,Single,No,Senior,No
159,Operations,Associate,Female,25,Diploma,8,Hyderabad,Contract,2017-12-03 10:07:10,2022,695462,35154,5,3,18,44,32,Single,No,Manager,Yes
160,Sales,Associate,Male,26,MBA,3,Hyderabad,Permanent,2016-07-11 16:34:56,2021,1630730,44194,2,3,7,22,54,Single,No,Junior,No
161,Finance,Director,Female,32,Bachelor,18,Pune,Permanent,2024-07-02 19:22:38,2019,426951,216092,2,10,23,6,5,Married,No,Senior,No
162,Finance,Analyst,Female,42,Bachelor,13,Mumbai,Permanent,2024-01-22 02:00:22,2022,1679078,197933,3,7,26,55,54,Single,No,Senior,Yes
163,Marketing,Analyst,Female,56,Diploma,4,Bangalore,Permanent,2020-11-08 01:31:56,2024,783419,173520,4,5,29,35,23,Single,No,Mid,No
164,Operations,Manager,Male,33,Diploma,17,Pune,Contract,2024-07-10 23:05:44,2023,448306,286496,2,8,5,0,63,Married,No,Junior,No
165,HR,Senior Engineer,Female,47,MBA,9,Delhi,Contract,2020-01-07 22:35:35,2021,1182622,282328,3,13,9,5,72,Married,No,Manager,No
166,Marketing,Executive,Male,40,MBA,18,Bangalore,Permanent,2017-04-05 18:06:47,2021,1988659,296463,3,9,21,23,71,Married,Yes,Junior,No
167,Operations,Analyst,Female,28,PhD,11,Hyderabad,Permanent,2017-06-05 12:04:08,2024,742667,140497,4,13,5,36,45,Married,No,Junior,No
168,Sales,Associate,Male,28,Master,17,Pune,Contract,2024-11-29 02:55:53,2023,1209222,171521,2,6,23,44,14,Married,No,Manager,No
169,Sales,Manager,Male,47,MBA,16,Hyderabad,Permanent,2015-12-13 23:30:42,2021,425223,30426,2,6,23,50,32,Single,No,Manager,Yes
170,Sales,Executive,Male,26,Diploma,10,Hyderabad,Contract,2023-04-01 14:16:12,2023,822886,289648,2,3,8,35,38,Single,Yes,Mid,No
171,Sales,Manager,Female,42,MBA,2,Hyderabad,Permanent,2018-08-09 14:51:10,2021,899493,209281,1,2,23,23,43,Single,No,Senior,No
172,Sales,Executive,Female,35,Bachelor,16,Mumbai,Contract,2016-03-17 20:48:39,2020,1763576,136775,2,7,10,37,60,Single,No,Manager,No
173,Operations,Executive,Male,25,Master,0,Hyderabad,Permanent,2017-10-10 06:08:48,2024,1247176,53368,5,6,19,44,56,Single,Yes,Manager,No
174,Operations,Director,Male,44,PhD,14,Delhi,Permanent,2019-06-13 19:32:05,2023,1349658,262625,1,3,8,28,7,Married,No,Junior,No
175,IT,Analyst,Female,41,Bachelor,8,Delhi,Contract,2022-04-15 13:49:42,2022,1752940,123841,1,12,28,36,27,Single,No,Manager,Yes
176,Finance,Manager,Female,36,Bachelor,14,Bangalore,Contract,2016-11-13 07:58:05,2020,1507142,231293,1,3,5,44,21,Single,No,Manager,No
177,Sales,Manager,Male,50,Master,2,Hyderabad,Permanent,2015-05-13 09:05:33,2022,1161525,276083,1,0,28,31,75,Married,No,Junior,No
178,HR,Director,Female,29,PhD,18,Hyderabad,Permanent,2023-05-29 23:01:58,2024,1662672,28724,3,10,21,24,30,Married,No,Junior,No
179,Operations,Associate,Female,40,Diploma,12,Pune,Contract,2023-01-04 07:32:14,2021,336719,185882,5,6,15,9,22,Single,No,Junior,Yes
180,HR,Associate,Female,49,PhD,11,Mumbai,Contract,2017-09-30 04:33:30,2022,348737,98872,4,0,21,34,50,Single,No,Mid,No
